date,USSLIND
2000-01-01,1.6400000000000001
2000-02-01,1.491044776119403
2000-03-01,1.7173846153846153
2000-04-01,1.7363076923076923
2000-05-01,1.5265079365079366
2000-06-01,1.078
2000-07-01,0.7836363636363637
2000-08-01,0.8588135593220338
2000-09-01,0.7664285714285715
2000-10-01,0.6708108108108108
2000-11-01,0.3970149253731343
2000-12-01,0.13626666666666665
2001-01-01,0.35684931506849316
2001-02-01,0.2144871794871795
2001-03-01,0.0865079365079365
2001-04-01,-0.17269841269841268
2001-05-01,-0.0856060606060606
2001-06-01,0.0873846153846154
2001-07-01,-0.1372463768115942
2001-08-01,-0.2171641791044776
2001-09-01,-0.3913636363636364
2001-10-01,-0.40013888888888893
2001-11-01,-0.3196153846153846
2001-12-01,-0.07441176470588236
2002-01-01,0.4575438596491228
2002-02-01,0.6674137931034483
2002-03-01,0.737258064516129
2002-04-01,0.7473134328358209
2002-05-01,0.7829230769230769
2002-06-01,0.7048571428571428
2002-07-01,0.8888709677419355
2002-08-01,0.7698305084745762
2002-09-01,0.7658064516129033
2002-10-01,0.6742857142857143
2002-11-01,0.5341818181818182
2002-12-01,0.3253448275862069
2003-01-01,0.5472
2003-02-01,0.3967272727272727
2003-03-01,0.26101694915254237
2003-04-01,0.3988333333333333
2003-05-01,0.559655172413793
2003-06-01,0.6034920634920634
2003-07-01,1.0149122807017543
2003-08-01,1.3904761904761904
2003-09-01,1.5863492063492064
2003-10-01,1.651639344262295
2003-11-01,1.721923076923077
2003-12-01,1.8722413793103447
2004-01-01,1.5901851851851851
2004-02-01,1.4082258064516129
2004-03-01,1.5906153846153845
2004-04-01,1.6201724137931035
2004-05-01,1.5798591549295775
2004-06-01,1.3993846153846154
2004-07-01,1.392923076923077
2004-08-01,1.2148611111111112
2004-09-01,1.2133333333333334
2004-10-01,1.360281690140845
2004-11-01,1.4685714285714284
2004-12-01,1.344406779661017
2005-01-01,1.1427868852459016
2005-02-01,1.3331506849315067
2005-03-01,1.3072727272727274
2005-04-01,1.3812499999999999
2005-05-01,1.2015384615384614
2005-06-01,1.5591525423728811
2005-07-01,1.784375
2005-08-01,1.8445901639344262
2005-09-01,1.331625
2005-10-01,1.3795
2005-11-01,1.4480281690140846
2005-12-01,1.6555405405405403
2006-01-01,1.6809333333333334
2006-02-01,1.6840845070422534
2006-03-01,1.6247761194029853
2006-04-01,1.3739705882352942
2006-05-01,1.0223076923076924
2006-06-01,1.0496923076923077
2006-07-01,0.7991891891891892
2006-08-01,0.9304225352112676
2006-09-01,0.8869565217391304
2006-10-01,0.9719402985074628
2006-11-01,0.9760256410256409
2006-12-01,0.9167532467532468
2007-01-01,1.1570422535211269
2007-02-01,1.0204761904761905
2007-03-01,1.1466666666666665
2007-04-01,0.9489062500000001
2007-05-01,1.0716666666666668
2007-06-01,0.7171666666666666
2007-07-01,0.6240298507462686
2007-08-01,0.5063076923076923
2007-09-01,0.3498591549295775
2007-10-01,0.473
2007-11-01,0.3216901408450704
2007-12-01,0.303375
2008-01-01,0.3091304347826087
2008-02-01,0.2177777777777778
2008-03-01,-0.059571428571428574
2008-04-01,-0.24163934426229508
2008-05-01,-0.36089552238805966
2008-06-01,-0.6114473684210526
2008-07-01,-0.9486666666666667
2008-08-01,-1.3424324324324324
2008-09-01,-1.5706329113924051
2008-10-01,-2.176153846153846
2008-11-01,-2.624375
2008-12-01,-2.6816216216216215
2009-01-01,-2.946282051282051
2009-02-01,-2.8176315789473683
2009-03-01,-2.5715555555555554
2009-04-01,-2.087439024390244
2009-05-01,-1.3194117647058823
2009-06-01,-0.8276623376623377
2009-07-01,-0.29743589743589743
2009-08-01,0.009743589743589746
2009-09-01,0.3784810126582278
2009-10-01,0.5039024390243902
2009-11-01,0.8335
2009-12-01,0.9184415584415585
2010-01-01,1.0043037974683544
2010-02-01,1.1636065573770493
2010-03-01,1.304567901234568
2010-04-01,1.2971428571428572
2010-05-01,1.3908450704225352
2010-06-01,1.159016393442623
2010-07-01,1.095223880597015
2010-08-01,0.8870422535211268
2010-09-01,1.0128947368421053
2010-10-01,1.1069620253164556
2010-11-01,1.3475675675675678
2010-12-01,1.4629230769230768
2011-01-01,1.461851851851852
2011-02-01,1.5304411764705883
2011-03-01,1.5029032258064516
2011-04-01,1.4428787878787879
2011-05-01,1.186231884057971
2011-06-01,1.2874999999999999
2011-07-01,1.3473239436619717
2011-08-01,1.6105555555555555
2011-09-01,1.48125
2011-10-01,1.627704918032787
2011-11-01,1.75578125
2011-12-01,1.8192857142857142
2012-01-01,1.7855714285714284
2012-02-01,1.6097142857142859
2012-03-01,1.6277966101694916
2012-04-01,1.4903030303030302
2012-05-01,1.4691803278688524
2012-06-01,1.3075409836065575
2012-07-01,1.248
2012-08-01,1.2929310344827587
2012-09-01,1.355090909090909
2012-10-01,1.6680327868852458
2012-11-01,1.6069841269841272
2012-12-01,1.5996491228070175
2013-01-01,1.6624999999999999
2013-02-01,1.6975438596491226
2013-03-01,1.5115094339622641
2013-04-01,1.523157894736842
2013-05-01,1.6010000000000002
2013-06-01,1.5345283018867923
2013-07-01,1.6466666666666665
2013-08-01,1.5296078431372548
2013-09-01,1.5862790697674418
2013-10-01,1.5003921568627452
2013-11-01,1.5065306122448978
2013-12-01,1.5089655172413794
2014-01-01,1.7333962264150944
2014-02-01,1.5935416666666666
2014-03-01,1.6495744680851063
2014-04-01,1.87
2014-05-01,1.7974468085106383
2014-06-01,1.8520833333333333
2014-07-01,1.93
2014-08-01,1.8858536585365855
2014-09-01,1.9348780487804877
2014-10-01,1.944047619047619
2014-11-01,1.6876923076923078
2014-12-01,1.7839534883720929
2015-01-01,1.473720930232558
2015-02-01,1.5338461538461539
2015-03-01,1.5461764705882353
2015-04-01,1.5799999999999998
2015-05-01,1.7049999999999998
2015-06-01,1.6851351351351351
2015-07-01,1.7109677419354838
2015-08-01,1.6462962962962961
2015-09-01,1.6944444444444444
2015-10-01,1.5662162162162163
2015-11-01,1.5793939393939396
2015-12-01,1.5703333333333334
2016-01-01,1.4378378378378378
2016-02-01,1.6578787878787877
2016-03-01,1.548235294117647
2016-04-01,1.5028125
2016-05-01,1.3993333333333333
2016-06-01,1.449655172413793
2016-07-01,1.3864
2016-08-01,1.4951851851851852
2016-09-01,1.366774193548387
2016-10-01,1.291
2016-11-01,1.670909090909091
2016-12-01,1.5054166666666666
2017-01-01,1.6413793103448275
2017-02-01,1.4243478260869566
2017-03-01,1.5973076923076923
2017-04-01,1.5507142857142857
2017-05-01,1.3908333333333334
2017-06-01,1.4633333333333334
2017-07-01,1.297
2017-08-01,1.3185714285714287
2017-09-01,1.1295454545454546
2017-10-01,1.5778260869565217
2017-11-01,1.4220833333333334
2017-12-01,1.4852631578947368
2018-01-01,1.5547368421052632
2018-02-01,1.5585714285714285
2018-03-01,1.554
2018-04-01,1.5683333333333336
2018-05-01,1.5411111111111109
2018-06-01,1.5094999999999998
2018-07-01,1.2822222222222222
2018-08-01,1.47
2018-09-01,1.3411764705882354
2018-10-01,1.4284615384615384
2018-11-01,1.0925
2018-12-01,1.094
2019-01-01,1.083076923076923
2019-02-01,1.154
2019-03-01,1.2336363636363636
2019-04-01,1.4357142857142857
2019-05-01,1.415
2019-06-01,1.1414285714285715
2019-07-01,1.2657142857142858
2019-08-01,1.3299999999999998
2019-09-01,1.4874999999999998
2019-10-01,1.3425
2019-11-01,1.3675000000000002
2019-12-01,1.4833333333333332
2020-01-01,1.57
2020-02-01,1.72
